,,,,,302b,,#NAME?,X,-2,604,29,ཉེར་དགུ་,V23703_I1421,606,https://iiif.bdrc.io/bdr:V23703_I1421::14210606.tif/full/max/0/default.png
,,,,,303a,གསུམ་བརྒྱ་ གསུམ་,#NAME?,X,-2,605,30,སུམ་བཅུ་,V23703_I1421,607,https://iiif.bdrc.io/bdr:V23703_I1421::14210607.tif/full/max/0/default.png
,,,,,303b,,#NAME?,X,-2,606,31,སོ་གཅིག་,V23703_I1421,608,https://iiif.bdrc.io/bdr:V23703_I1421::14210608.tif/full/max/0/default.png
,,,,,304a,གསུམ་བརྒྱ་ བཞི་,#NAME?,X,-2,607,32,སོ་གཉིས་,V23703_I1421,609,https://iiif.bdrc.io/bdr:V23703_I1421::14210609.tif/full/max/0/default.png
,,,,,304b,,#NAME?,X,-2,608,33,སོ་གསུམ་,V23703_I1421,610,https://iiif.bdrc.io/bdr:V23703_I1421::14210610.tif/full/max/0/default.png
,,,,,305a,གསུམ་བརྒྱ་ ལྔ་,#NAME?,X,-2,609,34,སོ་བཞི་,V23703_I1421,611,https://iiif.bdrc.io/bdr:V23703_I1421::14210611.tif/full/max/0/default.png
,,,,,305b,,#NAME?,X,-2,610,35,སོ་ལྔ་,V23703_I1421,612,https://iiif.bdrc.io/bdr:V23703_I1421::14210612.tif/full/max/0/default.png
,,,,,306a,གསུམ་བརྒྱ་ དྲུག་,#NAME?,X,-2,611,36,སོ་དྲུག་,V23703_I1421,613,https://iiif.bdrc.io/bdr:V23703_I1421::14210613.tif/full/max/0/default.png
,,,,,306b,,#NAME?,X,-2,612,37,སོ་བདུན་,V23703_I1421,614,https://iiif.bdrc.io/bdr:V23703_I1421::14210614.tif/full/max/0/default.png
,,,,,307a,གསུམ་བརྒྱ་ བདུན་,#NAME?,X,-2,613,38,སོ་བརྒྱད་,V23703_I1421,615,https://iiif.bdrc.io/bdr:V23703_I1421::14210615.tif/full/max/0/default.png
,,,,,307b,,#NAME?,X,-2,614,39,སོ་དགུ་,V23703_I1421,616,https://iiif.bdrc.io/bdr:V23703_I1421::14210616.tif/full/max/0/default.png
,,,,,308a,གསུམ་བརྒྱ་ བརྒྱད་,#NAME?,X,-2,615,40,བཞི་བཅུ་,V23703_I1421,617,https://iiif.bdrc.io/bdr:V23703_I1421::14210617.tif/full/max/0/default.png
,,,,,308b,,#NAME?,X,-2,616,41,ཞེ་གཅིག་,V23703_I1421,618,https://iiif.bdrc.io/bdr:V23703_I1421::14210618.tif/full/max/0/default.png
,,,,,309a,གསུམ་བརྒྱ་ དགུ་,#NAME?,X,-2,617,42,ཞེ་གཉིས་,V23703_I1421,619,https://iiif.bdrc.io/bdr:V23703_I1421::14210619.tif/full/max/0/default.png
,,,,,309b,,#NAME?,X,-2,618,43,ཞེ་གསུམ་,V23703_I1421,620,https://iiif.bdrc.io/bdr:V23703_I1421::14210620.tif/full/max/0/default.png
,,,,,310a,གསུམ་བརྒྱ་ བཅུ་,#NAME?,X,-2,619,44,ཞེ་བཞི་,V23703_I1421,621,https://iiif.bdrc.io/bdr:V23703_I1421::14210621.tif/full/max/0/default.png
,,,,,310b,,#NAME?,X,-2,620,45,ཞེ་ལྔ་,V23703_I1421,622,https://iiif.bdrc.io/bdr:V23703_I1421::14210622.tif/full/max/0/default.png
,,,,,311a,གསུམ་བརྒྱ་ བཅུ་གཅིག་,#NAME?,X,-2,621,46,ཞེ་དྲུག་,V23703_I1421,623,https://iiif.bdrc.io/bdr:V23703_I1421::14210623.tif/full/max/0/default.png
,,,,,311b,,#NAME?,X,-2,622,47,ཞེ་བདུན་,V23703_I1421,624,https://iiif.bdrc.io/bdr:V23703_I1421::14210624.tif/full/max/0/default.png
,,,,,312a,གསུམ་བརྒྱ་ བཅུ་གཉིས་,#NAME?,X,-2,623,48,ཞེ་བརྒྱད་,V23703_I1421,625,https://iiif.bdrc.io/bdr:V23703_I1421::14210625.tif/full/max/0/default.png
,,,,,312b,,#NAME?,X,-2,624,49,ཞེ་དགུ་,V23703_I1421,626,https://iiif.bdrc.io/bdr:V23703_I1421::14210626.tif/full/max/0/default.png
,,,,,313a,གསུམ་བརྒྱ་ བཅུ་གསུམ་,#NAME?,X,-2,625,50,ལྔ་བཅུ་,V23703_I1421,627,https://iiif.bdrc.io/bdr:V23703_I1421::14210627.tif/full/max/0/default.png
,,,,,313b,,#NAME?,X,-2,626,51,ང་གཅིག་,V23703_I1421,628,https://iiif.bdrc.io/bdr:V23703_I1421::14210628.tif/full/max/0/default.png
,,,,,314a,གསུམ་བརྒྱ་ བཅུ་བཞི་,#NAME?,X,-2,627,52,ང་གཉིས་,V23703_I1421,629,https://iiif.bdrc.io/bdr:V23703_I1421::14210629.tif/full/max/0/default.png
,,,,,314b,,#NAME?,X,-2,628,53,ང་གསུམ་,V23703_I1421,630,https://iiif.bdrc.io/bdr:V23703_I1421::14210630.tif/full/max/0/default.png
,,,,,315a,གསུམ་བརྒྱ་ བཅོ་ལྔ་,#NAME?,X,-2,629,54,ང་བཞི་,V23703_I1421,631,https://iiif.bdrc.io/bdr:V23703_I1421::14210631.tif/full/max/0/default.png
,,,,,315b,,#NAME?,X,-2,630,55,ང་ལྔ་,V23703_I1421,632,https://iiif.bdrc.io/bdr:V23703_I1421::14210632.tif/full/max/0/default.png
,,,,,316a,གསུམ་བརྒྱ་ བཅུ་དྲུག་,#NAME?,X,-2,631,56,ང་དྲུག་,V23703_I1421,633,https://iiif.bdrc.io/bdr:V23703_I1421::14210633.tif/full/max/0/default.png
,,,,,316b,,#NAME?,X,-2,632,57,ང་བདུན་,V23703_I1421,634,https://iiif.bdrc.io/bdr:V23703_I1421::14210634.tif/full/max/0/default.png
,,,,,317a,གསུམ་བརྒྱ་ བཅུ་བདུན་,#NAME?,X,-2,633,58,ང་བརྒྱད་,V23703_I1421,635,https://iiif.bdrc.io/bdr:V23703_I1421::14210635.tif/full/max/0/default.png
,,,,,317b,,#NAME?,X,-2,634,59,ང་དགུ་,V23703_I1421,636,https://iiif.bdrc.io/bdr:V23703_I1421::14210636.tif/full/max/0/default.png
,,,,,318a,གསུམ་བརྒྱ་ བཅོ་བརྒྱད་,#NAME?,X,-2,635,60,དྲུག་བཅུ་,V23703_I1421,637,https://iiif.bdrc.io/bdr:V23703_I1421::14210637.tif/full/max/0/default.png
,,,,,318b,,#NAME?,X,-2,636,61,རེ་གཅིག་,V23703_I1421,638,https://iiif.bdrc.io/bdr:V23703_I1421::14210638.tif/full/max/0/default.png
,,,,,319a,གསུམ་བརྒྱ་ བཅུ་དགུ་,#NAME?,X,-2,637,62,རེ་གཉིས་,V23703_I1421,639,https://iiif.bdrc.io/bdr:V23703_I1421::14210639.tif/full/max/0/default.png
,,,,,319b,,#NAME?,X,-2,638,63,རེ་གསུམ་,V23703_I1421,640,https://iiif.bdrc.io/bdr:V23703_I1421::14210640.tif/full/max/0/default.png
,,,,,320a,གསུམ་བརྒྱ་ ཉི་ཤུ,#NAME?,X,-2,639,64,རེ་བཞི་,V23703_I1421,641,https://iiif.bdrc.io/bdr:V23703_I1421::14210641.tif/full/max/0/default.png
,,,,,320b,,#NAME?,X,-2,640,65,རེ་ལྔ་,V23703_I1421,642,https://iiif.bdrc.io/bdr:V23703_I1421::14210642.tif/full/max/0/default.png
,,,,,321a,གསུམ་བརྒྱ་ ཉེར་གཅིག་,#NAME?,X,-2,641,66,རེ་དྲུག་,V23703_I1421,643,https://iiif.bdrc.io/bdr:V23703_I1421::14210643.tif/full/max/0/default.png
,,,,,321b,,#NAME?,X,-2,642,67,རེ་བདུན་,V23703_I1421,644,https://iiif.bdrc.io/bdr:V23703_I1421::14210644.tif/full/max/0/default.png
,,,,,322a,གསུམ་བརྒྱ་ ཉེར་གཉིས་,#NAME?,X,-2,643,68,རེ་བརྒྱད་,V23703_I1421,645,https://iiif.bdrc.io/bdr:V23703_I1421::14210645.tif/full/max/0/default.png
,,,,,322b,,#NAME?,X,-2,644,69,རེ་དགུ་,V23703_I1421,646,https://iiif.bdrc.io/bdr:V23703_I1421::14210646.tif/full/max/0/default.png
,,,,,323a,གསུམ་བརྒྱ་ ཉེར་གསུམ་,#NAME?,X,-2,645,70,བདུན་བཅུ་,V23703_I1421,647,https://iiif.bdrc.io/bdr:V23703_I1421::14210647.tif/full/max/0/default.png
,,,,,323b,,#NAME?,X,-2,646,71,དོན་གཅིག་,V23703_I1421,648,https://iiif.bdrc.io/bdr:V23703_I1421::14210648.tif/full/max/0/default.png
,,,,,324a,གསུམ་བརྒྱ་ ཉེར་བཞི་,#NAME?,X,-2,647,72,དོན་གཉིས་,V23703_I1421,649,https://iiif.bdrc.io/bdr:V23703_I1421::14210649.tif/full/max/0/default.png
,,,,,324b,,#NAME?,X,-2,648,73,དོན་གསུམ་,V23703_I1421,650,https://iiif.bdrc.io/bdr:V23703_I1421::14210650.tif/full/max/0/default.png
,,,,,325a,གསུམ་བརྒྱ་ ཉེར་ལྔ་,#NAME?,X,-2,649,74,དོན་བཞི་,V23703_I1421,651,https://iiif.bdrc.io/bdr:V23703_I1421::14210651.tif/full/max/0/default.png
,,,,,325b,,#NAME?,X,-2,650,75,དོན་ལྔ་,V23703_I1421,652,https://iiif.bdrc.io/bdr:V23703_I1421::14210652.tif/full/max/0/default.png
,,,,,326a,གསུམ་བརྒྱ་ ཉེར་དྲུག་,#NAME?,X,-2,651,76,དོན་དྲུག་,V23703_I1421,653,https://iiif.bdrc.io/bdr:V23703_I1421::14210653.tif/full/max/0/default.png
,,,,,326b,,#NAME?,X,-2,652,77,དོན་བདུན་,V23703_I1421,654,https://iiif.bdrc.io/bdr:V23703_I1421::14210654.tif/full/max/0/default.png
,,,,,327a,གསུམ་བརྒྱ་ ཉེར་བདུན་,#NAME?,X,-2,653,78,དོན་བརྒྱད་,V23703_I1421,655,https://iiif.bdrc.io/bdr:V23703_I1421::14210655.tif/full/max/0/default.png
