407a,བཞི་བརྒྱ་ བདུན་,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510815.tif/full/max/0/default.png
407b,,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510816.tif/full/max/0/default.png
408a,བཞི་བརྒྱ་ བརྒྱད་,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510817.tif/full/max/0/default.png
408b,,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510818.tif/full/max/0/default.png
409a,བཞི་བརྒྱ་ དགུ་,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510819.tif/full/max/0/default.png
409b,,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510820.tif/full/max/0/default.png
410a,བཞི་བརྒྱ་ བཅུ་,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510821.tif/full/max/0/default.png
410b,,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510822.tif/full/max/0/default.png
411a,བཞི་བརྒྱ་ བཅུ་གཅིག་,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510823.tif/full/max/0/default.png
411b,,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510824.tif/full/max/0/default.png
412a,བཞི་བརྒྱ་ བཅུ་གཉིས་,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510825.tif/full/max/0/default.png
412b,,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510826.tif/full/max/0/default.png
413a,བཞི་བརྒྱ་ བཅུ་གསུམ་,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510827.tif/full/max/0/default.png
413b,,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510828.tif/full/max/0/default.png
414a,བཞི་བརྒྱ་ བཅུ་བཞི་,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510829.tif/full/max/0/default.png
414b,,https://iiif.bdrc.io/bdr:V23702_I1PD31451::I1PD314510830.tif/full/max/0/default.png
