325a,གསུམ་བརྒྱ་ ཉེར་ལྔ་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830653.jpg/full/max/0/default.jpg,,,,,,
325b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830654.jpg/full/max/0/default.jpg,,,,,,
325a,གསུམ་བརྒྱ་ ཉེར་ལྔ་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830655.jpg/full/max/0/default.jpg,,,,,,
325b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830656.jpg/full/max/0/default.jpg,,,,,,
326a,གསུམ་བརྒྱ་ ཉེར་དྲུག་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830657.jpg/full/max/0/default.jpg,,,,,,
326b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830658.jpg/full/max/0/default.jpg,,,,,,
327a,གསུམ་བརྒྱ་ ཉེར་བདུན་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830659.jpg/full/max/0/default.jpg,,,,,,
327b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830660.jpg/full/max/0/default.jpg,,,,,,
328a,གསུམ་བརྒྱ་ ཉེར་བརྒྱད་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830661.jpg/full/max/0/default.jpg,,,,,,
328b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830662.jpg/full/max/0/default.jpg,,,,,,
328a,གསུམ་བརྒྱ་ ཉེར་བརྒྱད་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830663.jpg/full/max/0/default.jpg,,,,,,རེའུ་མིག་11འདི་6པའི་འོག་ལ་འཇོག་དགོས། 
328b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830664.jpg/full/max/0/default.jpg,,,,,,
329a,གསུམ་བརྒྱ་ ཉེར་དགུ་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830665.jpg/full/max/0/default.jpg,,,,,,
329b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830666.jpg/full/max/0/default.jpg,,,,,,
330a,གསུམ་བརྒྱ་ སུམ་བཅུ་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830667.jpg/full/max/0/default.jpg,,,,,,
330b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830668.jpg/full/max/0/default.jpg,,,,,,
331a,གསུམ་བརྒྱ་ སོ་གཅིག་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830669.jpg/full/max/0/default.jpg,,,,,,
331b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830670.jpg/full/max/0/default.jpg,,,,,,
332a,གསུམ་བརྒྱ་ སོ་གཉིས་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830671.jpg/full/max/0/default.jpg,,,,,,
332b,,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830672.jpg/full/max/0/default.jpg,,,,,,
333a,གསུམ་བརྒྱ་ སོ་གསུམ་,https://iiif.bdrc.io/bdr:V1KG13126_I1KG13283::I1KG132830673.jpg/full/max/0/default.jpg,,,,,,
