None,None,སྡེ་དགེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས། ,པེ་ཅིན་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,སྣར་ཐང་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག ,ཤོག་གྲངས།,ཅོ་ནེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,None,གསེར་བྲིས་མའི་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,None
rktsid,None,dergeid,dergevolb,dergepageb,dergevole,dergepagee,pecingid,pecingvolb,pecingpageb,pecingvole,pecingpagee,narthangid,narthangvolb,narthangpageb,narthangvole,narthangpagee,coneid,conevolb,conepageb,conevole,conepagee,gandenid,gandenvolb,gandenpageb,gandenvole,gandenpagee,None
21.0,བླ་ན་མེད་པའི་བསྟོད་པ,D1130,bstod tshogs, ka,79b7,bstod tshogs, ka,80a4,Q2021,bstod tshogs, ka,92a3,bstod tshogs, ka,92b2,N810,bstod tshogs, ka,88a4,bstod tshogs, ka,88b2,C1077,bstod tshogs, ka ,90b7,bstod tshogs, ka ,91a6,GT21,bstod tshogs, ka,113b1,bstod tshogs, ka,113b6,None
21.0,བླ་ན་མེད་པའི་བསྟོད་པ,None,None,None,None,None,Q5471,dbu ma, gi,226b7,dbu ma, gi,227a7,None,dbu ma, gi,218b6,dbu ma, gi,219a5,None,None,None,None,None,GT3474,mdo 'grel, gi,274a4,mdo 'grel, gi,274b4,None
22.0,འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ,D1131,bstod tshogs, ka,80a5,bstod tshogs, ka,80b5,Q2022,bstod tshogs, ka,92b2,bstod tshogs, ka,93a3,N811,bstod tshogs, ka,88b2,bstod tshogs, ka,89a3,C1078,bstod tshogs, ka ,91a6,bstod tshogs, ka ,92a1,GT22,bstod tshogs, ka,113b6,bstod tshogs, ka,114a6,None
23.0,རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ,D1132,bstod tshogs, ka,80b5,bstod tshogs, ka,81b2,Q2023,bstod tshogs, ka,93a4,bstod tshogs, ka,94a4,N812,bstod tshogs, ka,89a3,bstod tshogs, ka,90a3,C1079,bstod tshogs, ka ,92a1,bstod tshogs, ka ,93a2,GT23,bstod tshogs, ka,115b1,bstod tshogs, ka,116b2,None
24.0,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ,D1133,bstod tshogs, ka,81b3,bstod tshogs, ka,82a3,Q2024,bstod tshogs, ka,94a5,bstod tshogs, ka,94b7,N813,bstod tshogs, ka,90a3,bstod tshogs, ka,90b5,C1080,bstod tshogs, ka ,93a2,bstod tshogs, ka ,93b4,GT24,bstod tshogs, ka,116b2,bstod tshogs, ka,117a4,None
3957.0,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ,D1134,bstod tshogs, ka,82a3,bstod tshogs, ka,82b3,Q2025,bstod tshogs, ka,94b7,bstod tshogs, ka,95b1,N814,bstod tshogs, ka,90b5,bstod tshogs, ka,91a6,C1081,bstod tshogs, ka ,93b4,bstod tshogs, ka ,94a5,GT25,bstod tshogs, ka,117a5,bstod tshogs, ka,117b6,None
3957.0,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ,D1134,(no check),None,None,None,Q5308,dbu ma, a,17a7,dbu ma, a,18b7,N814,(no check),None,None,None,C1081,(no check),None,None,None,None,None,None,None,None,None
26.0,མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ,D1135,bstod tshogs, ka,82b3,bstod tshogs, ka,83a6,Q2026,bstod tshogs, ka,95b1,bstod tshogs, ka,96a7,N815,bstod tshogs, ka,91a6,bstod tshogs, ka,92a4,C1082,bstod tshogs, ka ,94a5,bstod tshogs, ka ,95a4,GT26,bstod tshogs, ka,118b1,bstod tshogs, ka,119a6,None
27.0,ཕྱག་འཚལ་བའི་བསྟོད་པ,D1136,bstod tshogs, ka,83a6,bstod tshogs, ka,83b5,Q2027,bstod tshogs, ka,96a8,bstod tshogs, ka,96b8,N816,bstod tshogs, ka,92a4,bstod tshogs, ka,92b3,C1083,bstod tshogs, ka ,95a4,bstod tshogs, ka ,95b4,GT27,bstod tshogs, ka,119a6,bstod tshogs, ka,120a1,None
28.0,དམྱལ་བ་ནས་འདོན་པ,D1137,bstod tshogs, ka,83b5,bstod tshogs, ka,84a7,Q2028,bstod tshogs, ka,97a1,bstod tshogs, ka,97b7,N817,bstod tshogs, ka,92b4,bstod tshogs, ka,93b1,C1084,bstod tshogs, ka ,95b4,bstod tshogs, ka ,96b2,GT28,bstod tshogs, ka,120a1,bstod tshogs, ka,120b6,None
