None,None,སྡེ་དགེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས། ,པེ་ཅིན་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,སྣར་ཐང་ཨང་།,མགོ་ཤོག ,ཤོག་གྲངས།,མཇུག་ཤོག ,ཤོག་གྲངས།,ཅོ་ནེ་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,None,གསེར་བྲིས་མའི་ཨང་།,མགོ་ཤོག,ཤོག་གྲངས།,མཇུག་ཤོག,ཤོག་གྲངས།,None
rktsid,None,dergeid,dergevolb,dergepageb,dergevole,dergepagee,pecingid,pecingvolb,pecingpageb,pecingvole,pecingpagee,narthangid,narthangvolb,narthangpageb,narthangvole,narthangpagee,coneid,conevolb,conepageb,conevole,conepagee,gandenid,gandenvolb,gandenpageb,gandenvole,gandenpagee,None
1858.0,གཟའ་བརྒྱད་ཀྱི་ལས་མ་གྲུབ་པ་རྣམས་གྲུབ་པར་བྱེད་པའི་ཆོ་ག་འདོད་པ་རབ་ཏུ་ཞི་བ་ཞེས་བྱ་བ།,D3035,rgyud 'grel, pu,76b4,rgyud 'grel, pu,77a2,Q3859,rgyud 'grel, tu,85a2,rgyud 'grel, tu,85b1,N2652,rgyud 'grel, tu,82a5,rgyud 'grel, tu,82b3,C2997,rgyud 'grel, pu,77a4,rgyud 'grel, pu,77b2,GT1861,rgyud 'grel, tu,105a1,rgyud 'grel, tu,105b1,None
1859.0,རྒྱུ་སྐར་ངན་པ་ཟློག་པར་བྱེད་པའི་ཆོ་ག,D3036,rgyud 'grel, pu,77a2,rgyud 'grel, pu,80a3,Q3860,rgyud 'grel, tu,85b1,rgyud 'grel, tu,87b8,N2653,rgyud 'grel, tu,82b3,rgyud 'grel, tu,84b4,C2998,rgyud 'grel, pu,77b2,rgyud 'grel, pu,80b3,GT1862,rgyud 'grel, tu,105b1,rgyud 'grel, tu,108a6,None
1860.0,རྒྱུ་སྐར་རྣམས་ཀྱི་ལས་སྣ་ཚོགས་པ་སྒྲུབ་པར་བྱེད་པ་དུས་འཛིན་བཟང་པོ་ཞེས་བྱ་བ།,D3037,rgyud 'grel, pu,80a3,rgyud 'grel, pu,80b6,Q3861,rgyud 'grel, tu,87b8,rgyud 'grel, tu,88b7,N2654,rgyud 'grel, tu,84b4,rgyud 'grel, tu,85b1,C2999,rgyud 'grel, pu,80b3,rgyud 'grel, pu,81a6,GT1863,rgyud 'grel, tu,108a6,rgyud 'grel, tu,109a6,None
1862.0,ཀླུ་ཆེན་པོ་བརྒྱད་མཆོད་པས་མི་བཟད་པའི་ནད་ཡམས་དྲག་པོ་ལས་ཐར་བར་བྱེད་པ།,D3039,rgyud 'grel, pu,81b2,rgyud 'grel, pu,82b5,Q3863,rgyud 'grel, tu,89b5,rgyud 'grel, tu,90b6,N2656,rgyud 'grel, tu,86a5,rgyud 'grel, tu,87a4,C3001,rgyud 'grel, pu,82a1,rgyud 'grel, pu,83a4,GT1865,rgyud 'grel, tu,110b1,rgyud 'grel, tu,111b4,None
1863.0,ཀླུ་སྒྲུབ་རིན་པོ་ཆེ་དབྱིག་སྒྲུབ་ཅེས་བྱ་བ།,D3040,rgyud 'grel, pu,82b5,rgyud 'grel, pu,83a3,Q3864,rgyud 'grel, tu,90b6,rgyud 'grel, tu,91a5,N2657,rgyud 'grel, tu,87a4,rgyud 'grel, tu,87b3,C3002,rgyud 'grel, pu,83a4,rgyud 'grel, pu,83b2,GT1866,rgyud 'grel, tu,111b5,rgyud 'grel, tu,112a5,None
1864.0,ཀླུའི་གདོན་ལས་གྲོལ་བར་བྱེད་པ་སྦྲུལ་འཛིན་བསང་བ་ཞེས་བྱ་བ།,D3041,rgyud 'grel, pu,83a3,rgyud 'grel, pu,84b4,Q3865,rgyud 'grel, tu,91a5,rgyud 'grel, tu,93a6,N2658,rgyud 'grel, tu,87b3,rgyud 'grel, tu,89a5,C3003,rgyud 'grel, pu,83b3,rgyud 'grel, pu,85a2,GT1867,rgyud 'grel, tu,112a5,rgyud 'grel, tu,114b3,None
1865.0,ཀླུའི་གདོན་ལས་ཐར་བར་བྱེད་པའི་ལས་ཀླུའི་སྲོག་མེ་དབལ་གྱི་འཁོར་ལོ་ཞེས་བྱ་བ་ཀླུའི་རྣམ་པར་འཇོམས་པའི་སྙིང་གཟེར་དུ་བཀོད་པ།,D3042,rgyud 'grel, pu,84b4,rgyud 'grel, pu,85b4,Q3866,rgyud 'grel, tu,93a6,rgyud 'grel, tu,94b2,N2659,rgyud 'grel, tu,89a5,rgyud 'grel, tu,90a5,C3004,rgyud 'grel, pu,85a2,rgyud 'grel, pu,86a2,GT1868,rgyud 'grel, tu,114b3,rgyud 'grel, tu,116a2,None
1869.0,སྒྲ་ལ་གནས་པའི་བསམ་གཏན་ཞེས་བྱ་བ།,D3046,rgyud 'grel, pu,88a3,rgyud 'grel, pu,90a4,Q3870,rgyud 'grel, tu,97a8,rgyud 'grel, tu,100a5,N2663,rgyud 'grel, tu,92b4,rgyud 'grel, tu,95a2,C3008,rgyud 'grel, pu,88a6,rgyud 'grel, pu,90b2,GT1872,rgyud 'grel, tu,119a6,rgyud 'grel, tu,122b3,None
1870.0, སྒྲ་ལ་མི་གནས་པའི་བསམ་གཏན་ཞེས་བྱ་བ་རྣལ་འབྱོར་པའི་འཁོར་རྐྱེན་དྲུངས་ནས་འདོན་པ།,D3047,rgyud 'grel, pu,90a4,rgyud 'grel, pu,92a4,Q3871,rgyud 'grel, tu,100a5,rgyud 'grel, tu,103a2,N2664,rgyud 'grel, tu,95a2,rgyud 'grel, tu,97a7,C3009,rgyud 'grel, pu,90b2,rgyud 'grel, pu,92b4,GT1873,rgyud 'grel, tu,122b3,rgyud 'grel, tu,125b5,None
1871.0,སྒྲ་མཐར་གྱིས་རྣལ་འབྱོར་པའི་ལུས་སེམས་ཀྱི་འབྲེལ་བ་གཅད་པ།,D3048,rgyud 'grel, pu,92a4,rgyud 'grel, pu,94a7,Q3872,rgyud 'grel, tu,103a2,rgyud 'grel, tu,106a3,N2665,rgyud 'grel, tu,97a7,rgyud 'grel, tu,99b7,C3010,rgyud 'grel, pu,92b4,rgyud 'grel, pu,95a2,GT1874,rgyud 'grel, tu,125b5,rgyud 'grel, tu,129a3,None
1875.0,གཤིན་རྗེ་གཤེད་པོ་སྒྲུབ་པའི་ཐབས,D3052,rgyud 'grel, pu,105a2,rgyud 'grel, pu,105b6,Q3876,rgyud 'grel, tu,120a5,rgyud 'grel, tu,121a5,N2669,rgyud 'grel, tu,111b6,rgyud 'grel, tu,112b3,C3014,rgyud 'grel, pu,106a3,rgyud 'grel, pu,106a7,GT1878,rgyud 'grel, tu,146a5,rgyud 'grel, tu,147b1,None
4299.0,རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།,D3053,rgyud 'grel, pu,105b5,rgyud 'grel, pu,107b2,Q3877,rgyud 'grel, tu,121a5,rgyud 'grel, tu,123a8,N2670,rgyud 'grel, tu,112b3,rgyud 'grel, tu,114b1,C3015,rgyud 'grel, pu,107b7,rgyud 'grel, pu,108b6,GT1879,rgyud 'grel, tu,148a1,rgyud 'grel, tu,151a3,None
1880.0,འཕགས་པ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས,D3057,rgyud 'grel, pu,109b4,rgyud 'grel, pu,112b2,Q3881,rgyud 'grel, tu,125b7,rgyud 'grel, tu,129a4,N2674,rgyud 'grel, tu,117a1,rgyud 'grel, tu,120a3,C3019,rgyud 'grel, pu,111a4,rgyud 'grel, pu,114a6,GT1883,rgyud 'grel, tu,155b6,rgyud 'grel, tu,160a6,None
1881.0,དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས,D3058,rgyud 'grel, pu,112b2,rgyud 'grel, pu,113a6,Q3882,rgyud 'grel, tu,129a4,rgyud 'grel, tu,130a4,N2675,rgyud 'grel, tu,120a3,rgyud 'grel, tu,121a1,C3020,rgyud 'grel, pu,114a6,rgyud 'grel, pu,115a3,GT1884,rgyud 'grel, tu,160a6,rgyud 'grel, tu,161b3,None
1883.0,ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་གཡོ་བ་ལ་བསྟོད་པ,D3060,rgyud 'grel, pu,116a4,rgyud 'grel, pu,116b6,Q3884,rgyud 'grel, tu,133b3,rgyud 'grel, tu,134b1,N2677,rgyud 'grel, tu,124a2,rgyud 'grel, tu,124b5,C3022,rgyud 'grel, pu,118a4,rgyud 'grel, pu,118b7,GT1886,rgyud 'grel, tu,166b5,rgyud 'grel, tu,167b6,None
4314.0,ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་གཡོ་བ་ལ་བསྟོད་པ།,D3061,rgyud 'grel, pu,116b6,rgyud 'grel, pu,117b7,Q3885,rgyud 'grel, tu,134b1,rgyud 'grel, tu,135b4,N2678,rgyud 'grel, tu,124b6,rgyud 'grel, tu,125b7,C3023,rgyud 'grel, pu,118b7,rgyud 'grel, pu,120a2,GT1887,rgyud 'grel, tu,167b6,rgyud 'grel, tu,169a6,None
1890.0,དགེ་བའི་འདོད་འཇོ,D3067,rgyud 'grel, pu,131b4,rgyud 'grel, pu,140a3,Q3891,rgyud 'grel, tu,151b6,rgyud 'grel, tu,162a4,N2684,rgyud 'grel, tu,141a1,rgyud 'grel, tu,150a6,C3029,rgyud 'grel, pu,134b5,rgyud 'grel, pu,144a1,GT1893,rgyud 'grel, tu,191b1,rgyud 'grel, tu,204a4,None
3122.0,འཕགས་པ་ཀུན་ནས་སྒོར་འཇུག་པའི་འོད་ཟེར་གཙུག་ཏོར་དྲི་མ་མེད་པའི་གཟུངས་བཀླག་ཅིང་མཆོད་རྟེན་བརྒྱ་རྩ་བརྒྱད་དམ་མཆོད་རྟེན་ལྔ་གདབ་པའི་ཆོ་ག་མདོ་སྡེ་ལས་བཏུས་པ,D3068,rgyud 'grel, pu,140a3,rgyud 'grel, pu,153a4,None,None,None,None,None,N2685,rgyud 'grel, tu,150a7,rgyud 'grel, tu,168a3,C3030,rgyud 'grel, pu,145a1,rgyud 'grel, pu,157a7,GT1894,rgyud 'grel, tu,205a1,rgyud 'grel, tu,228a5,None
1891.0,འཕགས་པ་ཀུན་ནས་སྒོར་འཇུག་པའི་འོད་ཟེར་གཙུག་ཏོར་དྲི་མ་མེད་པར་སྣང་གཟུངས་བཀླག་ཅིང་མཆོད་རྟེན་བརྒྱ་རྩ་བརྒྱད་དམ་མཆོད་རྟེན་ལྔ་གདམ་པའི་ཆོ་ག་མདོ་སྡེ་ལས་བསྡུས་པ,D3069,rgyud 'grel, pu,153a4,rgyud 'grel, pu,168a7,Q3893,rgyud 'grel, tu,162a4,rgyud 'grel, tu,181a5,N2685,rgyud 'grel, tu,150a7,rgyud 'grel, tu,168a3,C3031,rgyud 'grel, pu,157a1,rgyud 'grel, pu,172a5,GT1894,rgyud 'grel, tu,205a1,rgyud 'grel, tu,228a5,None
1897.0,དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དམ་ཚིག་བསྲུང་བའི་སྒྲུབ་ཐབས,D3079,rgyud 'grel, pu,175b1,rgyud 'grel, pu,176a3,Q3898,rgyud 'grel, tu,189b8,rgyud 'grel, tu,190b3,N2691,rgyud 'grel, tu,176a6,rgyud 'grel, tu,177a2,C3042,rgyud 'grel, pu,179a2,rgyud 'grel, pu,179b4,GT1900,rgyud 'grel, tu,239a1,rgyud 'grel, tu,240a5,None
4316.0,སཱཙྪ་ལྔ་གདབ་པའི་ཆོ་ག,D3080,rgyud 'grel, pu,176a3,rgyud 'grel, pu,176b4,Q3899,rgyud 'grel, tu,190b3,rgyud 'grel, tu,191a3,N2692,rgyud 'grel, tu,177a2,rgyud 'grel, tu,177b1,C3043,rgyud 'grel, pu,179b4,rgyud 'grel, pu,180a5,GT1901,rgyud 'grel, tu,240a6,rgyud 'grel, tu,241a4,None
1899.0,གཙུག་ཏོར་དྲི་མ་མེད་པའི་གཟུངས་ཀྱི་ཆོ་ག,D3081,rgyud 'grel, pu,176b4,rgyud 'grel, pu,177a6,Q3900,rgyud 'grel, tu,191a3,rgyud 'grel, tu,192a2,N2693,rgyud 'grel, tu,177b1,rgyud 'grel, tu,178a7,C3044,rgyud 'grel, pu,180a5,rgyud 'grel, pu,180b6,GT1902,rgyud 'grel, tu,241a1,rgyud 'grel, tu,242a4,None
4317.0,གཙུག་ཏོར་དྲི་མ་མེད་པའི་གཟུངས་ཀྱི་ཆོ་ག,D3082,rgyud 'grel, pu,177a6,rgyud 'grel, pu,177b6,Q3901,rgyud 'grel, tu,192a2,rgyud 'grel, tu,192b3,N2694,rgyud 'grel, tu,178a7,rgyud 'grel, tu,179a1,C3045,rgyud 'grel, pu,180b6,rgyud 'grel, pu,181a6,GT1903,rgyud 'grel, tu,242a4,rgyud 'grel, tu,243a4,None
1937.0,འཕགས་མ་རིག་པ་ཆེན་མོ་སོ་སོར་འབྲང་མའི་འཁོར་ལོ,D3117,rgyud 'grel, pu,216a2,rgyud 'grel, pu,217b5,Q3938,rgyud 'grel, tu,243b4,rgyud 'grel, tu,245b6,N2731,rgyud 'grel, tu,226b6,rgyud 'grel, tu,228b6,C3080,rgyud 'grel, pu,218a5,rgyud 'grel, pu,219b7,GT1940,rgyud 'grel, tu,309ba1,rgyud 'grel, tu,312a4,None
1952.0,དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པའི་མདོ་སྡེའི་མན་ངག,D3132,rgyud 'grel, pu,246a7,rgyud 'grel, pu,275a5,Q3953,rgyud 'grel, tu,285a2,rgyud 'grel, tu,322a2,N2747,rgyud 'grel, tu,262b2,rgyud 'grel, tu,295b7,C3095,rgyud 'grel, pu,248a4,rgyud 'grel, pu,276b3,GT1955,rgyud 'grel, tu,357a1,rgyud 'grel, tu,398a6,None
1953.0,དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པའི་གཟུངས་བཀླག་པའི་ཆོ་ག་མདོ་སྡེ་ལས་བཏུས་པ,D3133,rgyud 'grel, pu,275a5,rgyud 'grel, pu,295b6,Q3954,rgyud 'grel, tu,322a3,rgyud 'grel, tu,349b1,N2748,rgyud 'grel, tu,295b7,rgyud 'grel, tu,319b7,C3096,rgyud 'grel, pu,276b4,rgyud 'grel, pu,297a1,GT1956,rgyud 'grel, tu,398a6,rgyud 'grel, tu,429a2,None
1954.0,དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ་ཞེས་བྱ་བའི་མདོ་སྡེ་བཀླག་ཅིང་དེ་བཞིན་གཤེགས་པ་བདུན་མཆོད་དེ། སྨོན་ལམ་གདབ་པའི་ཆོ་ག་མདོ་སྡེ་ལས་བཏུས་ཏེ་རིམ་པར་བཀླག་པ,D3134,rgyud 'grel, pu,295b7,rgyud 'grel, pu,301b7,Q3955,rgyud 'grel, tu,349b1,rgyud 'grel, tu,357b2,N2749,rgyud 'grel, tu,319b7,rgyud 'grel, tu,327a1,C3097,rgyud 'grel, pu,297a1,rgyud 'grel, pu,302b4,GT1957,rgyud 'grel, tu,429a2,rgyud 'grel, tu,439a4,None
4011.0,སྒྲོལ་མའི་སྒྲུབ་ཐབས,D3193,rgyud 'grel, phu,202b4,rgyud 'grel, phu,203a1,Q4014,rgyud 'grel, thu,250a4,rgyud 'grel, thu,250b1,N2808,rgyud 'grel, thu,237b7,rgyud 'grel, thu,238a4,C3156,rgyud 'grel, phu,202a3,rgyud 'grel, phu,202a6,GT2016,rgyud 'grel, thu,313b4,rgyud 'grel, thu,314a2,None
4012.0,སྒྲོལ་མའི་སྒྲུབ་ཐབས,D3194,rgyud 'grel, phu,203a1,rgyud 'grel, phu,203a6,Q4015,rgyud 'grel, thu,250b1,rgyud 'grel, thu,250b8,N2809,rgyud 'grel, thu,238a4,rgyud 'grel, thu,238b3,C3157,rgyud 'grel, phu,202b6,rgyud 'grel, phu,206b4,GT2018,rgyud 'grel, thu,314a3,rgyud 'grel, thu,314b3,None
4013.0,སྒྲོལ་མའི་སྒྲུབ་ཐབས,D3195,rgyud 'grel, phu,203a6,rgyud 'grel, phu,203b3,Q4016,rgyud 'grel, thu,250b8,rgyud 'grel, thu,251a7,N2810,rgyud 'grel, thu,238b3,rgyud 'grel, thu,239a2,C3158,rgyud 'grel, phu,206b4,rgyud 'grel, phu,207a2,GT2019,rgyud 'grel, thu,314b3,rgyud 'grel, thu,315a3,None
4014.0,སྒྲོལ་མའི་སྒྲུབ་ཐབས,D3196,rgyud 'grel, phu,203b4,rgyud 'grel, phu,203b7,Q4017,rgyud 'grel, thu,251a7,rgyud 'grel, thu,251b3,N2811,rgyud 'grel, thu,239a2,rgyud 'grel, thu,239a6,C3159,rgyud 'grel, phu,207a2,rgyud 'grel, phu,207a5,GT2020,rgyud 'grel, thu,315a3,rgyud 'grel, thu,315b1,None
2188.0,རྟོག་པ་ལས་གསུངས་པའི་ལྷ་མོ་རིགས་བྱེད་མའི་སྒྲུབ་པའི་ཐབས,D3368,rgyud 'grel, mu,42b3,rgyud 'grel, mu,44a2,Q4189,rgyud 'grel, du,54a5,rgyud 'grel, du,56a3,N2983,rgyud 'grel, du,48a4,rgyud 'grel, du,49b7,C3334,rgyud 'grel, mu,45b3,rgyud 'grel, mu,46a2,GT2191,rgyud 'grel, du,56b2,rgyud 'grel, du,58b1,None
4261.0,རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,D3488,rgyud 'grel, mu,136b3,rgyud 'grel, mu,137a7,Q4310,rgyud 'grel, du,175b2,rgyud 'grel, du,176b3,N3104,rgyud 'grel, du,162b7,rgyud 'grel, du,163b7,C3454,rgyud 'grel, mu,138b3,rgyud 'grel, mu,139a7,GT2313,rgyud 'grel, du,191b5,rgyud 'grel, du,193a2,None
4281.0,རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས,D3518,rgyud 'grel, mu,164b2,rgyud 'grel, mu,165a1,Q4340,rgyud 'grel, du,212a7,rgyud 'grel, du,213a2,N3134,rgyud 'grel, du,197a6,rgyud 'grel, du,197b7,C3484,rgyud 'grel, mu,166b1,rgyud 'grel, mu,166b7,GT2341,rgyud 'grel, du,233b6,rgyud 'grel, du,234b2,None
4139.0,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྒྲུབ་ཐབས།,D3550,rgyud 'grel, mu,185a4,rgyud 'grel, mu,186b6,Q4372,rgyud 'grel, du,239b4,rgyud 'grel, du,241b7,N3166,rgyud 'grel, du,222b3,rgyud 'grel, du,224b3,C3516,rgyud 'grel, mu,190a4,rgyud 'grel, mu,192a6,GT2374,rgyud 'grel, du,263a5,rgyud 'grel, du,265b3,None
2383.0,སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས,D3562,rgyud 'grel, mu,194a4,rgyud 'grel, mu,195b4,Q4384,rgyud 'grel, du,251b3,rgyud 'grel, du,253b4,N3178,rgyud 'grel, du,233a3,rgyud 'grel, du,234b7,C3528,rgyud 'grel, mu,201a4,rgyud 'grel, mu,202b4,GT2386,rgyud 'grel, du,276a1,rgyud 'grel, du,278a3,None
2466.0,ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས,D3645,rgyud 'grel, mu,257b3,rgyud 'grel, mu,259a6,Q4467,rgyud 'grel, du,335a6,rgyud 'grel, du,337b5,N3260,rgyud 'grel, du,304b4,rgyud 'grel, du,306b4,C3611,rgyud 'grel, mu,234b3,rgyud 'grel, mu,236a6,GT2469,rgyud 'grel, du,364b1,rgyud 'grel, du,366b6,None
4330.0,འཕགས་པ་བྱམས་པའི་སྒྲུབ་ཐབས,D3648,rgyud 'grel, mu,260b5,rgyud 'grel, mu,261b2,Q4471,rgyud 'grel, du,340b2,rgyud 'grel, du,341b4,N3264,rgyud 'grel, du,308b7,rgyud 'grel, du,309b5,None,rgyud 'grel, mu,267b5,rgyud 'grel, mu,268b2,GT2473,rgyud 'grel, du,369b4,rgyud 'grel, du,370b6,None
2486.0,སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མའི་སྒྲུབ་ཐབས,D3664,rgyud 'grel, mu,267b3,rgyud 'grel, mu,268b3,Q4487,rgyud 'grel, du,349b4,rgyud 'grel, du,351a3,N3280,rgyud 'grel, du,316a3,rgyud 'grel, du,317a6,C3630,rgyud 'grel, mu,274b4,rgyud 'grel, mu,275b4,GT2489,rgyud 'grel, du,379b1,rgyud 'grel, du,381a2,None
2486.0,སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མའི་སྒྲུབ་ཐབས,None,None,None,None,None,Q5112,rgyud 'grel, lu,147a6,rgyud 'grel, lu,148a1,N3901,rgyud 'grel, lu,144b3,rgyud 'grel, lu,145a5,None,None,None,None,None,None,None,None,None,None,None
2507.0,སྒྲོལ་མའི་སྒྲུབ་ཐབས,D3685,rgyud 'grel, mu,315a2,rgyud 'grel, mu,317a4,Q4508,rgyud 'grel, du,414b6,rgyud 'grel, du,417b7,N3301a,rgyud 'grel, du,369a1,rgyud 'grel, du,371a4,C3651,rgyud 'grel, mu,322a2,rgyud 'grel, mu,324a4,GT2510,rgyud 'grel, du,453a5,rgyud 'grel, du,456a6,None
2508.0,འཕགས་མ་ལྷ་མོ་སྒྲོལ་མ་བསྒོམ་པའི་ཆོ་ག་རྒྱས་པ,D3686,rgyud 'grel, mu,322b1,rgyud 'grel, mu,323a1,Q4509,rgyud 'grel, du, ,rgyud 'grel, du,424b2,N3302,rgyud 'grel, du,371a4,rgyud 'grel, du,376b3,C3652,rgyud 'grel, mu,324a4,rgyud 'grel, mu,329b1,GT2511,rgyud 'grel, du,457a1,rgyud 'grel, du,465a1,None
2509.0,འཇིགས་པ་བརྒྱད་ལས་སྐྱོབ་པ་བཞུགས,D3687,rgyud 'grel, mu,322b1,rgyud 'grel, mu,323a1,Q4510,rgyud 'grel, du,424b2,rgyud 'grel, du,425a5,N3303,rgyud 'grel, du,376b3,rgyud 'grel, du,377a4,C3653,rgyud 'grel, mu,329b1,rgyud 'grel, mu,330a1,GT2512,rgyud 'grel, du,465a1,rgyud 'grel, du,465b4,None
4271.0,འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ།,D3688,rgyud 'grel, mu,323a1,rgyud 'grel, mu,323b2,Q4511,rgyud 'grel, du,425a5,rgyud 'grel, du,425b8,N3304,rgyud 'grel, du,377a4,rgyud 'grel, du,377b4,C3654,rgyud 'grel, mu,330a1,rgyud 'grel, mu,330b2,None,rgyud 'grel, du,465b4,rgyud 'grel, du,466b1,None
4276.0,འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,D3689,rgyud 'grel, mu,323b2,rgyud 'grel, mu,324b7,Q4512,rgyud 'grel, du,426a1,rgyud 'grel, du,427b5,N3305,rgyud 'grel, du,377b4,rgyud 'grel, du,379a3,C3655,rgyud 'grel, mu,330b2,rgyud 'grel, mu,331b7,None,rgyud 'grel, du,466b1,rgyud 'grel, du,468b1,None
2512.0,ཆོམ་རྐུན་བཅིང་བ,D3690,rgyud 'grel, mu,324b7,rgyud 'grel, mu,325a5,Q4513,rgyud 'grel, du,427b5,rgyud 'grel, du,428a3,N3306,rgyud 'grel, du,379a3,rgyud 'grel, du,379a7,C3656,rgyud 'grel, mu,331b7,rgyud 'grel, mu,332a5,GT2515,rgyud 'grel, du,468b1,rgyud 'grel, du,468b6,None
2530.0,དེ་ཁོ་ན་ཉིད་གྲུབ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,D3708,rgyud 'grel, tsu,26b1,rgyud 'grel, tsu,39a2,Q4531,rgyud 'grel, nu,28a6,rgyud 'grel, nu,42b2,N3324,rgyud 'grel, nu,29a4,rgyud 'grel, nu,42a6,C3674,rgyud 'grel, tsu,27a7,rgyud 'grel, tsu,38b6,GT2533,rgyud 'grel, nu,35a1,rgyud 'grel, nu,51a6,None
2546.0,དམ་ཚིག་ཐམས་ཅད་བསྡུས་པ,D3725,rgyud 'grel, tshu,44a1,rgyud 'grel, tshu,49b1,Q4547,rgyud 'grel, nu,253b6,rgyud 'grel, nu,259b8,N3340,rgyud 'grel, nu,254b4,rgyud 'grel, nu,260b6,C3691,rgyud 'grel, tshu,43b5,rgyud 'grel, tshu,49a7,GT2549,rgyud 'grel, nu,311b1,rgyud 'grel, nu,318a6,None
2550.0,ཞེན་ལོག་སྒྲོན་མ,D3729,rgyud 'grel, tshu,58b2,rgyud 'grel, tshu,63b7,Q4551,rgyud 'grel, nu,270b1,rgyud 'grel, nu,276b6,N3344,rgyud 'grel, nu,271a2,rgyud 'grel, nu,277a6,C3695,rgyud 'grel, tshu,58b2,rgyud 'grel, tshu,63b7,GT2553,rgyud 'grel, nu,332b1,rgyud 'grel, nu,339b1,None
2560.0,འཕགས་པ་ཚོགས་ཀྱི་བདག་པོ་ཆགས་པ་རྡོ་རྗེའི་དམ་ཚིག་གི་བསྟོད་པ,D3739,rgyud 'grel, tshu,74b5,rgyud 'grel, tshu,75a4,Q4561,rgyud 'grel, nu,289b4,rgyud 'grel, nu,290a4,None,None,None,None,None,C3705,rgyud 'grel, tshu,74b5,rgyud 'grel, tshu,75a4,None,None,None,None,None,None
2587.0,རྒྱུད་སྣ་ཚོགས་ལས་བཏུས་པའི་གཏོར་མའི་ཆོ་ག,D3769,rgyud 'grel, tshu,130b3,rgyud 'grel, tshu,160b2,Q4588,rgyud 'grel, nu,349a7,rgyud 'grel, nu,385a6,N3377,rgyud 'grel, nu,347a1,rgyud 'grel, nu,382a2,C3735,rgyud 'grel, tshu,130b3,rgyud 'grel, tshu,161a1,GT2587,rgyud 'grel, nu,424a1,rgyud 'grel, nu,466a3,None
2595.0,བདུད་རྩི་འབྱུང་བ་ཞེས་བྱ་བའི་གཏོར་མའི་ཆོ་ག,D3778,rgyud 'grel, tshu,212b4,rgyud 'grel, tshu,220b3,Q4596,rgyud 'grel, nu,429b1,rgyud 'grel, nu,438a7,N3385,rgyud 'grel, nu,429a5,rgyud 'grel, nu,439a4,C3744,rgyud 'grel, tshu,212b4,rgyud 'grel, tshu,220b3,GT2595,rgyud 'grel, nu,523a1,rgyud 'grel, nu,534a5,None
2596.0,ཆུ་གཏོར་གྱི་ཆོ་ག,D3779,rgyud 'grel, tshu,220b3,rgyud 'grel, tshu,221b2,Q4597,rgyud 'grel, nu,438a8,rgyud 'grel, nu,439b1,N3386,rgyud 'grel, nu,439a4,rgyud 'grel, nu,440a6,C3745,rgyud 'grel, tshu,220b3,rgyud 'grel, tshu,221b2,GT2596,rgyud 'grel, nu,534a5,rgyud 'grel, nu,535b3,None
2597.0,ཀླུ་གཏོར་གྱི་ཆོ་ག,D3780,rgyud 'grel, tshu,221b3,rgyud 'grel, tshu,222a6,Q4598,rgyud 'grel, nu,439b1,rgyud 'grel, nu,440a6,N3387,rgyud 'grel, nu,440a6,rgyud 'grel, nu,441a3,C3746,rgyud 'grel, tshu,221b2,rgyud 'grel, tshu,222a5,GT2597,rgyud 'grel, nu,535b3,rgyud 'grel, nu,536b4,None
