1.0,100.0,None,None,None,None,None,None,X,None,None,num,bo,None,None,None
None,None,None,None,2.0,288b,None,#REF!,X,-2,576,1.0,གཅིག་,V23703_I1421,578.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210578.tif/full/max/0/default.png
None,None,None,None,None,289a,གཉིས་བརྒྱ་ གྱ་དགུ་,#REF!,X,-2,577,2.0,གཉིས་,V23703_I1421,579.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210579.tif/full/max/0/default.png
None,None,None,None,None,289b,None,#REF!,X,-2,578,3.0,གསུམ་,V23703_I1421,580.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210580.tif/full/max/0/default.png
None,None,None,None,None,290a,གཉིས་བརྒྱ་ དགུ་བཅུ་,#REF!,X,-2,579,4.0,བཞི་,V23703_I1421,581.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210581.tif/full/max/0/default.png
None,None,None,None,None,290b,None,#REF!,X,-2,580,5.0,ལྔ་,V23703_I1421,582.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210582.tif/full/max/0/default.png
None,None,None,None,None,291a,གཉིས་བརྒྱ་ གོ་གཅིག་,#REF!,X,-2,581,6.0,དྲུག་,V23703_I1421,583.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210583.tif/full/max/0/default.png
None,None,None,None,None,291b,None,#REF!,X,-2,582,7.0,བདུན་,V23703_I1421,584.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210584.tif/full/max/0/default.png
None,None,None,None,None,292a,གཉིས་བརྒྱ་ གོ་གཉིས་,#REF!,X,-2,583,8.0,བརྒྱད་,V23703_I1421,585.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210585.tif/full/max/0/default.png
None,None,None,None,None,292b,None,#REF!,X,-2,584,9.0,དགུ་,V23703_I1421,586.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210586.tif/full/max/0/default.png
None,None,None,None,None,293a,གཉིས་བརྒྱ་ གོ་གསུམ་,#REF!,X,-2,585,10.0,བཅུ་,V23703_I1421,587.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210587.tif/full/max/0/default.png
None,None,None,None,None,293b,None,#REF!,X,-2,586,11.0,བཅུ་གཅིག་,V23703_I1421,588.0,https://iiif.bdrc.io/bdr:V23703_I1421::14210588.tif/full/max/0/default.png
