1,100,,,,,,,X,,,num,bo
,,,,,0b,,#NAME?,X,0,0,94,གོ་བཞི་
,,,,,0b,,#NAME?,X,0,0,95,གོ་ལྔ་
,,,,,0b,,#NAME?,X,0,0,96,གོ་དྲུག་
,,,,,0b,,#NAME?,X,0,0,97,གོ་བདུན་
,,,,,0b,,#NAME?,X,0,0,98,གོ་བརྒྱད་
,,,,,0b,,#NAME?,X,0,0,99,གོ་དགུ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,100,བརྒྱ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,101,བརྒྱ་ གཅིག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,102,བརྒྱ་ གཉིས་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,103,བརྒྱ་ གསུམ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,104,བརྒྱ་ བཞི་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,105,བརྒྱ་ ལྔ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,106,བརྒྱ་ དྲུག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,107,བརྒྱ་ བདུན་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,108,བརྒྱ་ བརྒྱད་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,109,བརྒྱ་ དགུ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,110,བརྒྱ་ བཅུ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,111,བརྒྱ་ བཅུ་གཅིག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,112,བརྒྱ་ བཅུ་གཉིས་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,113,བརྒྱ་ བཅུ་གསུམ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,114,བརྒྱ་ བཅུ་བཞི་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,115,བརྒྱ་ བཅོ་ལྔ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,116,བརྒྱ་ བཅུ་དྲུག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,117,བརྒྱ་ བཅུ་བདུན་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,118,བརྒྱ་ བཅོ་བརྒྱད་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,119,བརྒྱ་ བཅུ་དགུ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,120,བརྒྱ་ ཉི་ཤུ
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,121,བརྒྱ་ ཉེར་གཅིག་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,122,བརྒྱ་ ཉེར་གཉིས་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,123,བརྒྱ་ ཉེར་གསུམ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,124,བརྒྱ་ ཉེར་བཞི་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,125,བརྒྱ་ ཉེར་ལྔ་
,,,,,0b,,A1: first image to display; B1: last image to display,0,0,0,126,བརྒྱ་ ཉེར་དྲུག་
